InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,SalePrice
55422,3/12/2015,United States,2222,US8,Male,10,43,9.5, $139.00 ,0%, $139.00 
55423,3/12/2015,Germany,2211,GER2,Male,9.5,42-43,9, $179.00 ,0%, $179.00 
55424,3/12/2015,United States,2218,US12,Female,8.5,39,6.5, $179.00 ,50%, $89.50 
55425,3/12/2015,Germany,2215,GER1,Female,8.5,39,6.5, $169.00 ,0%, $169.00 
55426,3/12/2015,Canada,2197,CAN2,Female,10,40-41,8, $169.00 ,50%, $84.50 
55427,3/13/2015,Canada,2187,CAN5,Male,11,44,10.5, $169.00 ,0%, $169.00 
55427,3/13/2015,Canada,2157,CAN7,Male,9,42,8.5, $179.00 ,0%, $179.00 
55427,3/13/2015,Canada,2214,CAN6,Female,9.5,40,7.5, $159.00 ,30%, $111.30 
55428,3/13/2015,Germany,2168,GER2,Female,8,38-39,6, $179.00 ,0%, $179.00 
55429,3/13/2015,United States,2167,US3,Male,10,43,9.5, $199.00 ,0%, $199.00 
55430,3/13/2015,United States,2192,US14,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
55431,3/13/2015,Germany,2237,GER2,Male,11.5,44-45,11, $139.00 ,20%, $111.20 
55432,3/13/2015,Germany,2200,GER1,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
55433,3/13/2015,Canada,2190,CAN2,Male,6.5,39,6, $199.00 ,0%, $199.00 
55434,3/14/2015,Canada,2206,CAN6,Male,9.5,42-43,9, $139.00 ,10%, $125.10 
55434,3/14/2015,Canada,2217,CAN5,Female,9.5,40,7.5, $199.00 ,0%, $199.00 
55435,3/14/2015,United States,2178,US15,Female,9.5,40,7.5, $149.00 ,10%, $134.10 
55436,3/14/2015,United States,2189,US7,Male,10,43,9.5, $139.00 ,20%, $111.20 
55437,3/14/2015,Germany,2208,GER1,Male,9,42,8.5, $129.00 ,10%, $116.10 
55438,3/14/2015,Germany,2205,GER1,Female,9,39-40,7, $199.00 ,0%, $199.00 
55439,3/14/2015,Canada,2168,CAN7,Male,10,43,9.5, $139.00 ,0%, $139.00 
55440,3/14/2015,United States,2202,US1,Male,7.5,40-41,7, $199.00 ,50%, $99.50 
55441,3/14/2015,Germany,2234,GER1,Male,10,43,9.5, $179.00 ,0%, $179.00 
55442,3/14/2015,Germany,2193,GER1,Male,8.5,41-42,8, $159.00 ,30%, $111.30 
55443,3/15/2015,Germany,2170,GER1,Male,11.5,44-45,11, $169.00 ,0%, $169.00 
55444,3/15/2015,United Kingdom,2149,UK1,Female,8,38-39,6, $149.00 ,10%, $134.10 
55445,3/15/2015,Germany,2241,GER2,Female,8,38-39,6, $129.00 ,0%, $129.00 
55445,3/15/2015,Germany,2167,GER2,Male,12,45,11.5, $159.00 ,20%, $127.20 
55446,3/15/2015,Germany,2189,GER1,Female,9,39-40,7, $179.00 ,0%, $179.00 
55447,3/15/2015,Germany,2215,GER2,Male,10,43,9.5, $179.00 ,0%, $179.00 
55447,3/15/2015,Germany,2183,GER2,Male,9.5,42-43,9, $139.00 ,0%, $139.00 
55447,3/15/2015,Germany,2182,GER2,Female,9,39-40,7, $199.00 ,50%, $99.50 
55448,3/15/2015,United States,2149,US12,Male,9,42,8.5, $169.00 ,0%, $169.00 
55449,3/15/2015,Canada,2213,CAN5,Male,14,47,13.5, $149.00 ,20%, $119.20 
55450,3/15/2015,United States,2173,US12,Female,8,38-39,6, $149.00 ,20%, $119.20 
55451,3/15/2015,United States,2152,US15,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
55452,3/16/2015,Canada,2241,CAN6,Male,9,42,8.5, $199.00 ,0%, $199.00 
55453,3/16/2015,Germany,2237,GER2,Male,11.5,44-45,11, $139.00 ,20%, $111.20 
55454,3/16/2015,United Kingdom,2224,UK5,Female,7.5,38,5.5, $199.00 ,20%, $159.20 
55455,3/16/2015,Germany,2200,GER1,Female,7,37-38,5, $189.00 ,10%, $170.10 
55456,3/16/2015,Germany,2219,GER1,Male,9.5,42-43,9, $159.00 ,0%, $159.00 
55457,3/16/2015,United States,2238,US15,Female,7.5,38,5.5, $179.00 ,0%, $179.00 
55458,3/16/2015,Germany,2150,GER2,Female,9.5,40,7.5, $139.00 ,20%, $111.20 
55459,3/16/2015,United Kingdom,2205,UK3,Male,9.5,42-43,9, $199.00 ,20%, $159.20 
55460,3/17/2015,Canada,2147,CAN3,Male,9.5,42-43,9, $199.00 ,30%, $139.30 
55461,3/17/2015,United States,2149,US11,Male,9.5,42-43,9, $149.00 ,10%, $134.10 
55462,3/17/2015,Germany,2208,GER1,Male,9,42,8.5, $129.00 ,10%, $116.10 
55463,3/17/2015,Germany,2205,GER1,Female,7,37-38,5, $199.00 ,0%, $199.00 
55463,3/17/2015,Germany,2187,GER2,Male,8,41,7.5, $169.00 ,0%, $169.00 
55464,3/17/2015,Germany,2158,GER3,Male,9.5,42-43,9, $139.00 ,50%, $69.50 
55465,3/17/2015,Canada,2185,CAN6,Female,10.5,41,8.5, $159.00 ,20%, $127.20 
55466,3/17/2015,Germany,2160,GER2,Female,8,38-39,6, $199.00 ,10%, $179.10 
55466,3/17/2015,Germany,2199,GER2,Female,9,39-40,7, $189.00 ,50%, $94.50 
55467,3/17/2015,Germany,2236,GER1,Male,11.5,44-45,11, $169.00 ,0%, $169.00 
55468,3/17/2015,United Kingdom,2188,UK4,Male,10.5,43-44,10, $189.00 ,0%, $189.00 
55469,3/17/2015,Germany,2193,GER1,Male,9,42,8.5, $199.00 ,20%, $159.20 
55470,3/18/2015,Germany,2176,GER1,Male,8,41,7.5, $139.00 ,0%, $139.00 
55471,3/18/2015,United States,2210,US15,Female,9,39-40,7, $189.00 ,0%, $189.00 
55472,3/18/2015,Germany,2218,GER3,Female,8.5,39,6.5, $159.00 ,30%, $111.30 
55473,3/18/2015,Canada,2217,CAN3,Female,9,39-40,7, $199.00 ,50%, $99.50 
55474,3/18/2015,United States,2242,US14,Female,8,38-39,6, $189.00 ,0%, $189.00 
55475,3/18/2015,Germany,2224,GER2,Female,7,37-38,5, $169.00 ,10%, $152.10 
55475,3/18/2015,Germany,2189,GER2,Male,11,44,10.5, $179.00 ,0%, $179.00 
55476,3/18/2015,Canada,2150,CAN2,Male,9,42,8.5, $139.00 ,0%, $139.00 
55477,3/18/2015,Germany,2215,GER2,Male,10,43,9.5, $179.00 ,0%, $179.00 
55478,3/18/2015,United States,2189,US14,Male,10.5,43-44,10, $199.00 ,10%, $179.10 
55479,3/18/2015,United Kingdom,2225,UK1,Male,10.5,43-44,10, $159.00 ,20%, $127.20 
55480,3/18/2015,Canada,2241,CAN6,Male,9,42,8.5, $199.00 ,0%, $199.00 
55481,3/18/2015,United Kingdom,2188,UK3,Female,7.5,38,5.5, $189.00 ,10%, $170.10 
55482,3/18/2015,Germany,2231,GER1,Female,9.5,40,7.5, $199.00 ,0%, $199.00 
55483,3/18/2015,United States,2191,US10,Female,8,38-39,6, $199.00 ,50%, $99.50 
55484,3/19/2015,United States,2177,US8,Male,10,43,9.5, $129.00 ,50%, $64.50 
55485,3/19/2015,United States,2223,US15,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
55486,3/19/2015,United States,2220,US14,Female,8,38-39,6, $179.00 ,0%, $179.00 
55486,3/19/2015,United States,2201,US14,Male,9.5,42-43,9, $199.00 ,10%, $179.10 
55486,3/19/2015,United States,2148,US14,Male,9,42,8.5, $139.00 ,10%, $125.10 
55486,3/19/2015,United States,2183,US14,Male,13,46,12.5, $139.00 ,30%, $97.30 
55487,3/19/2015,Canada,2168,CAN7,Male,10,43,9.5, $139.00 ,0%, $139.00 
55488,3/19/2015,United Kingdom,2205,UK3,Male,9.5,42-43,9, $199.00 ,20%, $159.20 
55489,3/19/2015,United Kingdom,2233,UK1,Female,7.5,38,5.5, $129.00 ,50%, $64.50 
55490,3/19/2015,United States,2236,US12,Male,10.5,43-44,10, $149.00 ,0%, $149.00 
55491,3/19/2015,Germany,2188,GER1,Female,9.5,40,7.5, $189.00 ,0%, $189.00 
55492,3/20/2015,United States,2226,US6,Male,10.5,43-44,10, $199.00 ,30%, $139.30 
55493,3/20/2015,Canada,2155,CAN1,Male,9,42,8.5, $159.00 ,0%, $159.00 
55494,3/20/2015,Canada,2196,CAN1,Male,11,44,10.5, $159.00 ,0%, $159.00 
55495,3/20/2015,Germany,2225,GER2,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
55496,3/21/2015,United States,2226,US6,Male,10.5,43-44,10, $199.00 ,30%, $139.30 
55497,3/21/2015,United States,2163,US14,Female,6.5,37,4.5, $199.00 ,50%, $99.50 
55498,3/21/2015,Canada,2184,CAN1,Male,9.5,42-43,9, $159.00 ,0%, $159.00 
55499,3/21/2015,United Kingdom,2231,UK3,Female,8.5,39,6.5, $169.00 ,0%, $169.00 
55500,3/21/2015,United States,2236,US8,Male,8.5,41-42,8, $169.00 ,0%, $169.00 
55501,3/21/2015,Canada,2185,CAN5,Male,8.5,41-42,8, $169.00 ,0%, $169.00 
55502,3/21/2015,United States,2181,US12,Male,8,41,7.5, $139.00 ,30%, $97.30 
55503,3/21/2015,United States,2166,US15,Female,8,38-39,6, $179.00 ,0%, $179.00 
55504,3/22/2015,United Kingdom,2205,UK3,Male,9.5,42-43,9, $199.00 ,20%, $159.20 
55505,3/22/2015,United Kingdom,2238,UK4,Male,7,40,6.5, $179.00 ,30%, $125.30 
55506,3/22/2015,Germany,2203,GER2,Male,11.5,44-45,11, $139.00 ,0%, $139.00 
55507,3/22/2015,Canada,2203,CAN6,Female,9.5,40,7.5, $169.00 ,0%, $169.00 
55508,3/22/2015,United States,2226,US13,Male,9.5,42-43,9, $149.00 ,20%, $119.20 
55509,3/22/2015,Germany,2203,GER2,Male,11,44,10.5, $159.00 ,0%, $159.00 
55510,3/22/2015,United States,2149,US11,Male,9.5,42-43,9, $149.00 ,10%, $134.10 
55510,3/22/2015,United States,2172,US1,Male,11,44,10.5, $139.00 ,0%, $139.00 
55511,3/22/2015,Germany,2154,GER1,Female,8,38-39,6, $179.00 ,30%, $125.30 
55511,3/22/2015,Germany,2211,GER2,Male,10.5,43-44,10, $179.00 ,50%, $89.50 
55512,3/22/2015,United Kingdom,2231,UK3,Female,8.5,39,6.5, $169.00 ,0%, $169.00 
55513,3/22/2015,United States,2236,US12,Male,10.5,43-44,10, $149.00 ,0%, $149.00 
55514,3/22/2015,Canada,2222,CAN1,Female,10.5,41,8.5, $199.00 ,0%, $199.00 
55515,3/22/2015,United States,2227,US7,Female,8,38-39,6, $149.00 ,0%, $149.00 
55516,3/22/2015,Germany,2158,GER3,Male,9.5,42-43,9, $139.00 ,50%, $69.50 
55517,3/22/2015,United States,2198,US15,Female,8,38-39,6, $129.00 ,0%, $129.00 
55518,3/23/2015,Germany,2193,GER1,Male,9,42,8.5, $199.00 ,20%, $159.20 
55519,3/23/2015,United States,2208,US10,Female,8,38-39,6, $129.00 ,0%, $129.00 
55520,3/23/2015,Germany,2211,GER1,Male,10,43,9.5, $139.00 ,0%, $139.00 
55521,3/23/2015,Canada,2184,CAN1,Male,9.5,42-43,9, $159.00 ,0%, $159.00 
55522,3/23/2015,Germany,2206,GER1,Male,10.5,43-44,10, $139.00 ,30%, $97.30 
55523,3/23/2015,United States,2173,US9,Male,7.5,40-41,7, $129.00 ,0%, $129.00 
55524,3/23/2015,United States,2168,US14,Female,7.5,38,5.5, $189.00 ,10%, $170.10 
55525,3/23/2015,United States,2176,US5,Female,8,38-39,6, $129.00 ,0%, $129.00 
55526,3/23/2015,Germany,2206,GER2,Female,8.5,39,6.5, $139.00 ,30%, $97.30 
55527,3/23/2015,Germany,2201,GER2,Male,11,44,10.5, $169.00 ,10%, $152.10 
55528,3/24/2015,Germany,2203,GER2,Male,11,44,10.5, $159.00 ,0%, $159.00 
55529,3/24/2015,Germany,2203,GER2,Male,11.5,44-45,11, $139.00 ,0%, $139.00 
55530,3/24/2015,United States,2221,US12,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
55531,3/24/2015,Canada,2220,CAN1,Male,8,41,7.5, $169.00 ,0%, $169.00 
55532,3/24/2015,Germany,2236,GER1,Male,11.5,44-45,11, $169.00 ,0%, $169.00 
55533,3/24/2015,United States,2226,US13,Male,9.5,42-43,9, $149.00 ,20%, $119.20 
55534,3/24/2015,Canada,2166,CAN6,Female,10.5,41,8.5, $129.00 ,50%, $64.50 
55535,3/24/2015,Germany,2148,GER2,Male,8,41,7.5, $149.00 ,0%, $149.00 
55536,3/24/2015,United States,2207,US1,Female,8,38-39,6, $199.00 ,10%, $179.10 
55537,3/24/2015,United States,2214,US13,Female,7.5,38,5.5, $179.00 ,0%, $179.00 
55538,3/24/2015,United States,2189,US5,Female,8,38-39,6, $139.00 ,0%, $139.00 
55538,3/24/2015,United States,2173,US15,Female,7.5,38,5.5, $159.00 ,50%, $79.50 
55539,3/24/2015,Germany,2185,GER2,Male,6.5,39,6, $199.00 ,20%, $159.20 
55540,3/24/2015,Canada,2169,CAN3,Female,8,38-39,6, $169.00 ,30%, $118.30 
55541,3/25/2015,Germany,2211,GER1,Male,10,43,9.5, $139.00 ,0%, $139.00 
55542,3/25/2015,United Kingdom,2225,UK5,Male,11,44,10.5, $149.00 ,0%, $149.00 
55543,3/25/2015,United States,2216,US15,Female,8.5,39,6.5, $199.00 ,10%, $179.10 
55544,3/25/2015,United States,2214,US14,Female,6.5,37,4.5, $149.00 ,0%, $149.00 
55545,3/25/2015,Canada,2176,CAN6,Male,9,42,8.5, $129.00 ,10%, $116.10 
55546,3/25/2015,Germany,2199,GER2,Female,8.5,39,6.5, $199.00 ,0%, $199.00 
55547,3/25/2015,United States,2231,US14,Female,7.5,38,5.5, $199.00 ,0%, $199.00 
55548,3/25/2015,United Kingdom,2215,UK2,Female,4.5,35,2.5, $159.00 ,0%, $159.00 
55549,3/25/2015,United States,2150,US3,Female,8,38-39,6, $169.00 ,0%, $169.00 
55550,3/25/2015,Germany,2167,GER2,Male,10,43,9.5, $159.00 ,0%, $159.00 
55551,3/26/2015,Canada,2205,CAN6,Female,10.5,41,8.5, $169.00 ,0%, $169.00 
55552,3/26/2015,United States,2228,US8,Female,9,39-40,7, $179.00 ,30%, $125.30 
55553,3/26/2015,Canada,2226,CAN6,Male,12,45,11.5, $129.00 ,20%, $103.20 
55554,3/26/2015,United Kingdom,2165,UK4,Male,8.5,41-42,8, $179.00 ,0%, $179.00 
55555,3/26/2015,Canada,2185,CAN5,Male,8.5,41-42,8, $169.00 ,0%, $169.00 
55556,3/26/2015,United States,2239,US12,Male,9.5,42-43,9, $159.00 ,0%, $159.00 
55557,3/26/2015,Canada,2238,CAN3,Female,8.5,39,6.5, $169.00 ,30%, $118.30 
55558,3/26/2015,United States,2212,US15,Female,8,38-39,6, $149.00 ,0%, $149.00 
55559,3/26/2015,Germany,2200,GER1,Female,7,37-38,5, $189.00 ,10%, $170.10 
55560,3/26/2015,United States,2232,US7,Female,9,39-40,7, $199.00 ,0%, $199.00 
55561,3/27/2015,Canada,2151,CAN6,Male,13,46,12.5, $139.00 ,50%, $69.50 
55562,3/27/2015,Canada,2179,CAN6,Female,8.5,39,6.5, $169.00 ,0%, $169.00 
55563,3/27/2015,Canada,2158,CAN5,Male,9.5,42-43,9, $159.00 ,10%, $143.10 
55564,3/27/2015,Germany,2166,GER1,Male,10.5,43-44,10, $149.00 ,50%, $74.50 
55565,3/27/2015,Germany,2206,GER1,Male,10.5,43-44,10, $139.00 ,30%, $97.30 
55566,3/27/2015,United States,2163,US14,Male,10,43,9.5, $139.00 ,0%, $139.00 
55567,3/28/2015,United States,2173,US15,Female,7.5,38,5.5, $159.00 ,50%, $79.50 
55568,3/28/2015,Germany,2237,GER1,Female,8.5,39,6.5, $159.00 ,0%, $159.00 
55569,3/28/2015,Canada,2150,CAN2,Male,9,42,8.5, $139.00 ,0%, $139.00 
55570,3/28/2015,United States,2205,US14,Female,7.5,38,5.5, $149.00 ,20%, $119.20 
55571,3/28/2015,United States,2223,US13,Male,9.5,42-43,9, $129.00 ,0%, $129.00 
55572,3/28/2015,United States,2184,US12,Female,9,39-40,7, $159.00 ,20%, $127.20 
55573,3/29/2015,United States,2240,US14,Male,10,43,9.5, $179.00 ,0%, $179.00 
55574,3/29/2015,United States,2180,US1,Male,9.5,42-43,9, $139.00 ,50%, $69.50 
55575,3/29/2015,Germany,2225,GER2,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
55576,3/29/2015,United States,2187,US5,Female,7.5,38,5.5, $149.00 ,50%, $74.50 
55577,3/29/2015,United States,2179,US13,Female,9.5,40,7.5, $179.00 ,0%, $179.00 
55578,3/30/2015,United States,2213,US4,Male,8.5,41-42,8, $169.00 ,0%, $169.00 
55579,3/30/2015,United States,2173,US10,Male,10,43,9.5, $129.00 ,0%, $129.00 
55580,3/30/2015,United States,2234,US15,Male,9.5,42-43,9, $159.00 ,50%, $79.50 
55581,3/30/2015,United States,2224,US2,Male,9,42,8.5, $129.00 ,0%, $129.00 
55582,3/30/2015,United Kingdom,2238,UK1,Female,8,38-39,6, $139.00 ,0%, $139.00 
55583,3/30/2015,Germany,2196,GER1,Female,8,38-39,6, $199.00 ,20%, $159.20 
55584,3/30/2015,United States,2164,US15,Female,8.5,39,6.5, $199.00 ,0%, $199.00 
55585,3/30/2015,Canada,2204,CAN1,Male,9,42,8.5, $199.00 ,0%, $199.00 
55586,3/30/2015,United States,2163,US14,Male,10,43,9.5, $139.00 ,0%, $139.00 
55587,3/30/2015,United States,2221,US12,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
55588,3/30/2015,Germany,2181,GER2,Male,11,44,10.5, $139.00 ,50%, $69.50 
55589,3/30/2015,United States,2207,US7,Male,10,43,9.5, $199.00 ,30%, $139.30 
55590,3/30/2015,Germany,2167,GER1,Female,6.5,37,4.5, $189.00 ,50%, $94.50 
55591,3/30/2015,United Kingdom,2183,UK5,Male,10,43,9.5, $189.00 ,0%, $189.00 
55592,3/31/2015,Germany,2166,GER1,Male,10.5,43-44,10, $149.00 ,50%, $74.50 
55593,3/31/2015,United States,2234,US12,Female,9.5,40,7.5, $159.00 ,0%, $159.00 
55594,3/31/2015,Canada,2157,CAN6,Female,9,39-40,7, $159.00 ,0%, $159.00 
55595,3/31/2015,United States,2220,US3,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
55596,3/31/2015,Canada,2217,CAN3,Male,9,42,8.5, $199.00 ,0%, $199.00 
55597,3/31/2015,United Kingdom,2238,UK1,Female,8,38-39,6, $139.00 ,0%, $139.00 
55598,3/31/2015,Germany,2203,GER2,Female,8,38-39,6, $129.00 ,50%, $64.50 
55599,3/31/2015,Germany,2205,GER1,Male,10.5,43-44,10, $189.00 ,50%, $94.50 
55600,3/31/2015,Germany,2204,GER1,Female,9.5,40,7.5, $139.00 ,0%, $139.00 
55601,3/31/2015,Canada,2231,CAN6,Male,9,42,8.5, $169.00 ,0%, $169.00 
55602,3/31/2015,United States,2183,US14,Female,9,39-40,7, $139.00 ,0%, $139.00 
55603,4/1/2015,Germany,2236,GER2,Female,8,38-39,6, $199.00 ,0%, $199.00 
55604,4/1/2015,United States,2190,US9,Male,9,42,8.5, $129.00 ,0%, $129.00 
55605,4/1/2015,Canada,2148,CAN3,Female,10.5,41,8.5, $139.00 ,0%, $139.00 
55606,4/1/2015,Germany,2188,GER1,Male,8,41,7.5, $199.00 ,0%, $199.00 
55607,4/1/2015,Canada,2156,CAN2,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
55608,4/1/2015,United States,2203,US13,Female,6,36-37,4, $149.00 ,0%, $149.00 
55609,4/1/2015,Canada,2159,CAN7,Female,9,39-40,7, $169.00 ,0%, $169.00 
55610,4/1/2015,United States,2215,US4,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
55611,4/1/2015,Germany,2167,GER2,Male,10,43,9.5, $159.00 ,0%, $159.00 
55612,4/1/2015,Canada,2185,CAN5,Male,8.5,41-42,8, $169.00 ,0%, $169.00 
55612,4/1/2015,Canada,2204,CAN5,Female,9,39-40,7, $139.00 ,0%, $139.00 
55613,4/2/2015,Canada,2220,CAN6,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
55614,4/2/2015,United Kingdom,2221,UK2,Female,6.5,37,4.5, $159.00 ,20%, $127.20 
55615,4/2/2015,United Kingdom,2237,UK2,Female,9.5,40,7.5, $179.00 ,10%, $161.10 
55616,4/2/2015,Germany,2196,GER2,Female,8,38-39,6, $169.00 ,50%, $84.50 
55617,4/2/2015,United States,2190,US13,Female,9.5,40,7.5, $169.00 ,30%, $118.30 
55618,4/2/2015,Germany,2236,GER1,Male,9.5,42-43,9, $169.00 ,30%, $118.30 
55619,4/2/2015,Canada,2148,CAN3,Female,10.5,41,8.5, $139.00 ,0%, $139.00 
55620,4/2/2015,Germany,2181,GER2,Male,11,44,10.5, $139.00 ,50%, $69.50 
55621,4/2/2015,United States,2189,US14,Male,10,43,9.5, $129.00 ,0%, $129.00 
55622,4/2/2015,United Kingdom,2150,UK3,Female,6.5,37,4.5, $179.00 ,0%, $179.00 
55623,4/2/2015,Canada,2190,CAN3,Female,8.5,39,6.5, $139.00 ,30%, $97.30 
55624,4/2/2015,Canada,2221,CAN5,Male,9,42,8.5, $199.00 ,0%, $199.00 
55625,4/3/2015,United Kingdom,2221,UK2,Female,6.5,37,4.5, $159.00 ,20%, $127.20 
55626,4/3/2015,United States,2222,US6,Male,11,44,10.5, $129.00 ,0%, $129.00 
55627,4/3/2015,United Kingdom,2239,UK5,Female,9.5,40,7.5, $199.00 ,0%, $199.00 
55628,4/3/2015,Germany,2169,GER2,Male,9,42,8.5, $149.00 ,10%, $134.10 
55629,4/3/2015,Germany,2179,GER2,Male,10.5,43-44,10, $189.00 ,0%, $189.00 
55630,4/3/2015,Canada,2202,CAN6,Male,10.5,43-44,10, $179.00 ,20%, $143.20 
55630,4/3/2015,Canada,2191,CAN6,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
55631,4/3/2015,United Kingdom,2185,UK3,Male,9,42,8.5, $149.00 ,30%, $104.30 
55632,4/3/2015,Canada,2237,CAN7,Female,9.5,40,7.5, $129.00 ,30%, $90.30 
55633,4/4/2015,United States,2195,US6,Male,12,45,11.5, $169.00 ,10%, $152.10 
55634,4/4/2015,United States,2177,US5,Male,10,43,9.5, $199.00 ,20%, $159.20 
55635,4/4/2015,Canada,2234,CAN2,Male,9,42,8.5, $149.00 ,0%, $149.00 
55636,4/4/2015,United States,2239,US12,Female,8.5,39,6.5, $139.00 ,0%, $139.00 
55637,4/4/2015,United Kingdom,2231,UK2,Female,9.5,40,7.5, $199.00 ,0%, $199.00 
55638,4/4/2015,Germany,2151,GER2,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
55639,4/4/2015,Germany,2216,GER1,Female,10,40-41,8, $179.00 ,50%, $89.50 
55640,4/4/2015,Canada,2228,CAN6,Female,6,36-37,4, $169.00 ,20%, $135.20 
55641,4/4/2015,Canada,2180,CAN2,Male,10.5,43-44,10, $149.00 ,0%, $149.00 
55642,4/4/2015,Canada,2238,CAN3,Female,8.5,39,6.5, $169.00 ,30%, $118.30 
55643,4/5/2015,United States,2232,US7,Female,9,39-40,7, $199.00 ,0%, $199.00 
55644,4/5/2015,United States,2177,US10,Male,10,43,9.5, $129.00 ,0%, $129.00 
55645,4/5/2015,United States,2214,US4,Female,8.5,39,6.5, $149.00 ,0%, $149.00 
55646,4/5/2015,United States,2193,US4,Male,10.5,43-44,10, $169.00 ,30%, $118.30 
55647,4/5/2015,United Kingdom,2158,UK5,Male,10,43,9.5, $169.00 ,0%, $169.00 
55648,4/5/2015,United States,2184,US5,Male,9,42,8.5, $139.00 ,0%, $139.00 
55649,4/5/2015,Germany,2150,GER1,Female,9,39-40,7, $179.00 ,0%, $179.00 
55650,4/5/2015,United States,2149,US1,Female,7.5,38,5.5, $179.00 ,0%, $179.00 
55651,4/5/2015,Germany,2211,GER3,Female,6.5,37,4.5, $129.00 ,0%, $129.00 
55652,4/5/2015,Canada,2218,CAN5,Female,6,36-37,4, $179.00 ,0%, $179.00 
55653,4/5/2015,United Kingdom,2181,UK2,Male,11,44,10.5, $189.00 ,20%, $151.20 
55654,4/6/2015,United States,2201,US10,Female,10.5,41,8.5, $179.00 ,0%, $179.00 
55655,4/6/2015,United States,2148,US13,Female,9.5,40,7.5, $129.00 ,20%, $103.20 
55656,4/6/2015,United Kingdom,2225,UK5,Male,11,44,10.5, $149.00 ,0%, $149.00 
55657,4/6/2015,United States,2183,US12,Male,10,43,9.5, $169.00 ,0%, $169.00 
55658,4/6/2015,Canada,2230,CAN7,Female,10.5,41,8.5, $169.00 ,0%, $169.00 
55659,4/6/2015,United States,2214,US13,Male,10,43,9.5, $139.00 ,0%, $139.00 
55660,4/6/2015,United Kingdom,2185,UK3,Male,9,42,8.5, $149.00 ,30%, $104.30 
55661,4/6/2015,United States,2226,US5,Female,10,40-41,8, $129.00 ,20%, $103.20 
55662,4/6/2015,Canada,2202,CAN3,Male,9.5,42-43,9, $139.00 ,20%, $111.20 
55663,4/6/2015,United States,2198,US12,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
55664,4/6/2015,Germany,2179,GER2,Male,10.5,43-44,10, $189.00 ,0%, $189.00 
55665,4/6/2015,United States,2178,US12,Female,8,38-39,6, $179.00 ,30%, $125.30 
55666,4/6/2015,Germany,2182,GER2,Female,9,39-40,7, $199.00 ,50%, $99.50 
55667,4/6/2015,United States,2167,US14,Female,6.5,37,4.5, $159.00 ,50%, $79.50 
55668,4/6/2015,Germany,2214,GER2,Male,8.5,41-42,8, $169.00 ,0%, $169.00 
55669,4/7/2015,Canada,2159,CAN6,Male,9.5,42-43,9, $169.00 ,50%, $84.50 
55670,4/7/2015,United States,2178,US15,Female,9.5,40,7.5, $149.00 ,10%, $134.10 
55671,4/7/2015,United States,2238,US3,Female,10.5,41,8.5, $179.00 ,0%, $179.00 
55672,4/7/2015,Canada,2212,CAN1,Male,9,42,8.5, $129.00 ,0%, $129.00 
55673,4/7/2015,United States,2223,US13,Male,9.5,42-43,9, $129.00 ,0%, $129.00 
55674,4/7/2015,Germany,2240,GER3,Female,9,39-40,7, $159.00 ,0%, $159.00 
55674,4/7/2015,Germany,2158,GER3,Male,10.5,43-44,10, $149.00 ,30%, $104.30 
55675,4/7/2015,United States,2150,US10,Female,10,40-41,8, $149.00 ,0%, $149.00 
55676,4/7/2015,United States,2177,US14,Male,11,44,10.5, $199.00 ,50%, $99.50 
55676,4/7/2015,United States,2196,US14,Male,9,42,8.5, $169.00 ,0%, $169.00 
55677,4/7/2015,Canada,2213,CAN2,Male,8.5,41-42,8, $169.00 ,50%, $84.50 
55678,4/7/2015,United Kingdom,2212,UK1,Male,9,42,8.5, $139.00 ,10%, $125.10 
55679,4/7/2015,Canada,2230,CAN7,Female,10.5,41,8.5, $169.00 ,0%, $169.00 
55680,4/7/2015,Germany,2219,GER2,Male,10.5,43-44,10, $149.00 ,0%, $149.00 
55681,4/8/2015,Germany,2198,GER2,Male,8.5,41-42,8, $159.00 ,0%, $159.00 
55682,4/8/2015,United States,2239,US4,Male,10,43,9.5, $129.00 ,10%, $116.10 
55683,4/8/2015,United States,2160,US14,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
55683,4/8/2015,United States,2196,US14,Male,9,42,8.5, $169.00 ,0%, $169.00 
55684,4/8/2015,United Kingdom,2206,UK5,Male,9.5,42-43,9, $179.00 ,20%, $143.20 
55685,4/8/2015,Germany,2175,GER2,Male,10.5,43-44,10, $139.00 ,50%, $69.50 
55686,4/8/2015,United States,2162,US13,Male,11,44,10.5, $179.00 ,20%, $143.20 
